,open_SAR,open_USD,high_SAR,high_USD,low_SAR,low_USD,close_SAR,close_USD,volume
2021-01-30,128437.248512,34246.28,131012.7232,34933.0,123106.88,32825.0,128333.212416,34218.54,43072
2021-01-29,125144.022272,33368.18,144510.03776,38531.9,119695.51616,31915.4,128459.45088,34252.2,231827
2021-01-28,113870.357376,30362.19,126703.438592,33783.98,111919.81184,29842.1,125131.570944,33364.86,92621
2021-01-27,121753.023104,32464.01,122102.860416,32557.29,109668.146688,29241.72,113885.20896,30366.15,95911
2021-01-26,120966.114176,32254.19,123470.218752,32921.88,115652.472448,30837.37,121767.124608,32467.77,84972
2021-01-25,120985.84128,32259.45,130795.2,34875.0,119675.264,31910.0,120966.15168,32254.2,88499
2021-01-24,120305.3312,32078.0,124029.4784,33071.0,115887.36,30900.0,120987.52896,32259.9,57978
2021-01-23,123575.68,32950.0,125473.3824,33456.0,117725.656064,31390.16,120305.3312,32078.0,64595
2021-01-22,115707.303296,30851.99,126863.018112,33826.53,108199.04,28850.0,123557.565568,32945.17,142971
2021-01-21,133020.049792,35468.23,133514.24,35600.0,112778.2784,30071.0,115700.327552,30850.13,131803
2021-01-20,134646.635776,35901.94,136571.978624,36415.31,125263.36,33400.0,133020.049792,35468.23,89368
2021-01-19,137348.873984,36622.46,141952.64,37850.0,134429.562624,35844.06,134607.444096,35891.49,79611
2021-01-18,134358.042496,35824.99,140526.850432,37469.83,130513.92,34800.0,137381.915008,36631.27,70698
2021-01-17,134995.572992,35994.98,138211.616,36852.5,126951.04,33850.0,134371.618944,35828.61,80157
2021-01-16,137780.057472,36737.43,142327.68,37950.0,132605.89312,35357.8,134995.572992,35994.98,86348
2021-01-15,146810.195584,39145.21,149069.999104,39747.76,129043.7632,34408.0,137798.021888,36742.22,118300
2021-01-14,140157.623552,37371.38,150391.04,40100.0,137644.292992,36701.23,146807.5328,39144.5,102950
2021-01-13,127697.93216,34049.15,141952.64,37850.0,121437.952,32380.0,140157.623552,37371.38,124477
2021-01-12,132803.051648,35410.37,137369.6512,36628.0,122004.2624,32531.0,127705.770496,34051.24,133948
2021-01-11,143077.835008,38150.02,143508.080896,38264.74,114087.168,30420.0,132780.924288,35404.47,249131
2021-01-10,150346.860288,40088.22,155079.04,41350.0,131680.706944,35111.11,143077.835008,38150.02,118209
2021-01-09,152217.334784,40586.96,155191.552,41380.0,145215.488,38720.0,150346.860288,40088.22,75785
2021-01-08,147887.572992,39432.48,157329.28,41950.0,136889.6,36500.0,152201.770624,40582.81,139789
2021-01-07,137899.807744,36769.36,151384.896,40365.0,136139.52,36300.0,147886.822912,39432.28,132825
2021-01-06,127324.317312,33949.53,138536.813184,36939.21,124843.3152,33288.0,137899.807744,36769.36,127139
2021-01-05,119974.3584,31989.75,128863.744,34360.0,112136.96,29900.0,127324.317312,33949.53,116049
2021-01-04,123763.38752,33000.05,126013.44,33600.0,105498.752,28130.0,119970.457984,31988.71,140899
2021-01-03,120674.55808,32176.45,130431.823744,34778.11,119873.997696,31962.99,123763.38752,33000.05,120957
2021-01-02,110005.60768,29331.7,124888.32,33300.0,108561.066112,28946.53,120681.608832,32178.33,129993
2021-01-01,108475.181952,28923.63,111011.84,29600.0,107353.587328,28624.57,110005.570176,29331.69,54182
2020-12-31,108294.86272,28875.55,109886.72,29300.0,104448.64,27850.0,108475.181952,28923.63,75508
2020-12-30,102704.704,27385.0,108746.5984,28996.0,102460.928,27320.0,108294.825216,28875.54,95356
2020-12-29,101558.656768,27079.42,102798.464,27410.0,97060.352,25880.0,102704.704,27385.0,69411
2020-12-28,98566.287616,26281.54,103136.0,27500.0,97889.1904,26101.0,101558.619264,27079.41,79721
2020-12-27,99360.84736,26493.4,106593.8688,28422.0,96385.28,25700.0,98566.737664,26281.66,148455
2020-12-26,92681.647488,24712.47,100762.109312,26867.03,91884.8,24500.0,99360.809856,26493.39,97806
2020-12-25,88993.204096,23728.99,92971.890944,24789.86,87885.37344,23433.6,92681.647488,24712.47,79519
2020-12-24,87130.755456,23232.39,89238.630272,23794.43,85146.906368,22703.42,88993.99168,23729.2,69013
2020-12-23,89299.986816,23810.79,90384.64,24100.0,84759.04,22600.0,87132.143104,23232.76,119047
2020-12-22,85208.637952,22719.88,89398.65984,23837.1,83834.19136,22353.4,89299.986816,23810.79,87033
2020-12-21,87967.657216,23455.54,90395.028608,24102.77,81814.976,21815.0,85208.000384,22719.71,88030
2020-12-20,89340.52864,23821.6,91115.968,24295.0,86484.224,23060.0,87967.582208,23455.52,76690
2020-12-19,86661.955456,23107.39,90652.681088,24171.47,85321.6,22750.0,89340.566144,23821.61,86045
2020-12-18,85498.43136,22797.15,87328.739072,23285.18,83821.44,22350.0,86661.955456,23107.39,79646
2020-12-17,80016.734208,21335.52,89259.52,23800.0,79620.992,21230.0,85498.468864,22797.16,184882
2020-12-16,72856.883072,19426.43,80858.624,21560.0,72302.46144,19278.6,80016.734208,21335.52,114306
2020-12-15,72284.046976,19273.69,73395.328,19570.0,71445.12,19050.0,72856.883072,19426.43,61834
2020-12-14,71913.882496,19174.99,72566.4896,19349.0,71257.6,19000.0,72281.984256,19273.14,47257
2020-12-13,70540.110976,18808.69,72799.0144,19411.0,70174.184448,18711.12,71913.882496,19174.99,56560
2020-12-12,67644.202112,18036.53,71065.054464,18948.66,67584.83328,18020.7,70540.110976,18808.69,49519
2020-12-11,68462.839424,18254.81,68605.054592,18292.73,65903.266432,17572.33,67644.202112,18036.53,72610
2020-12-10,69537.254016,18541.29,69597.372928,18557.32,67173.864448,17911.12,68462.164352,18254.63,52890
2020-12-09,68722.742144,18324.11,69905.843328,18639.57,66194.56,17650.0,69537.216512,18541.28,79585
2020-12-08,71883.54176,19166.9,72363.367936,19294.84,68257.28,18200.0,68722.742144,18324.11,61626
2020-12-07,72602.755968,19358.67,72836.180864,19420.91,70893.361152,18902.88,71883.54176,19166.9,41372
2020-12-06,71811.384064,19147.66,72832.768,19420.0,70721.2928,18857.0,72605.49376,19359.4,37043
2020-12-05,69946.872704,18650.51,71921.4208,19177.0,69382.4,18500.0,71811.384064,19147.66,42922
2020-12-04,72841.543936,19422.34,73234.0608,19527.0,69627.338624,18565.31,69946.910208,18650.52,71283
2020-12-03,72022.981632,19204.08,73500.3392,19598.0,70759.54688,18867.2,72839.89376,19421.9,66689
2020-12-02,70376.105984,18764.96,72540.2368,19342.0,68744.832,18330.0,72023.019136,19204.09,75911
2020-12-01,73867.390848,19695.87,74587.9552,19888.0,67511.400448,18001.12,70376.105984,18764.96,127698
2020-11-30,68201.024,18185.0,74494.795264,19863.16,68200.986496,18184.99,73867.390848,19695.87,115463
2020-11-29,66456.487936,17719.84,68857.53152,18360.05,65695.7568,17517.0,68200.986496,18184.99,55329
2020-11-28,64280.093312,17139.53,67058.989696,17880.49,63252.596224,16865.56,66456.52544,17719.85,64910
2020-11-27,64317.372288,17149.47,65473.058048,17457.62,61649.375232,16438.08,64280.055808,17139.52,85297
2020-11-26,70203.100032,18718.83,70938.928512,18915.03,60711.4752,16188.0,64317.372288,17149.47,181005
2020-11-25,71857.664,19160.0,73073.581184,19484.21,69383.412608,18500.27,70204.150144,18719.11,93266
2020-11-24,68887.384704,18368.01,72828.905088,19418.97,67574.7072,18018.0,71857.701504,19160.01,113581
2020-11-23,69059.415552,18413.88,70380.0064,18766.0,67507.2,18000.0,68887.3472,18368.0,82961
2020-11-22,70146.73152,18703.8,70320.0,18750.0,66047.769344,17610.86,69061.478272,18414.43,81645
2020-11-21,69966.187264,18655.66,71129.71136,18965.9,68664.498432,18308.58,70146.73152,18703.8,75577
2020-11-20,66767.658624,17802.81,70564.601088,18815.22,66532.246016,17740.04,69966.224768,18655.67,88423
2020-11-19,66673.6736,17777.75,68181.52192,18179.8,65015.62176,17335.65,66767.696128,17802.82,93009
2020-11-18,66229.738752,17659.38,69295.878272,18476.93,64561.07328,17214.45,66667.560448,17776.12,149019
2020-11-17,62680.735232,16713.08,66977.718528,17858.82,62024.1152,16538.0,66229.738752,17659.38,115221
2020-11-16,59845.1328,15957.0,63306.752,16880.0,59496.3456,15864.0,62682.572928,16713.57,81300
2020-11-15,60267.277824,16069.56,60681.472,16180.0,59161.509888,15774.72,59845.1328,15957.0,43596
2020-11-14,61206.678016,16320.04,61232.743296,16326.99,58768.768,15670.0,60270.61568,16070.45,59116
2020-11-13,61100.95424,16291.85,61806.592,16480.0,59827.69344,15952.35,61209.15328,16320.7,75691
2020-11-12,58822.2112,15684.25,61284.16128,16340.7,57908.576256,15440.64,61100.991744,16291.86,102196
2020-11-11,57370.656384,15297.21,59875.136,15965.0,57278.659072,15272.68,58822.173696,15684.24,78469
2020-11-10,57487.668864,15328.41,57981.184,15460.0,56527.753984,15072.46,57370.656384,15297.21,61681
2020-11-09,58037.81504,15475.1,59406.336,15840.0,55526.697216,14805.54,57487.668864,15328.41,108976
2020-11-08,55574.55232,14818.3,58693.76,15650.0,55145.431552,14703.88,58037.81504,15475.1,65547
2020-11-07,58430.969472,15579.93,59082.001408,15753.52,53796.562688,14344.22,55574.55232,14818.3,101431
2020-11-06,58468.811008,15590.02,59856.384,15960.0,56878.5664,15166.0,58430.931968,15579.92,122618
2020-11-05,53045.695104,14144.01,59068.8,15750.0,52856.487424,14093.56,58468.811008,15590.02,143741
2020-11-04,52593.846912,14023.53,53476.9536,14259.0,50724.16,13525.0,53045.695104,14144.01,93016
2020-11-03,50816.532352,13549.63,52753.538944,14066.11,49824.026496,13284.99,52593.846912,14023.53,74115
2020-11-02,51611.092096,13761.49,51868.032,13830.0,49486.71552,13195.05,50815.557248,13549.37,64566
2020-11-01,51721.7664,13791.0,52111.808,13895.0,51016.6912,13603.0,51611.1296,13761.5,36285
2020-10-31,50855.79904,13560.1,52880.64,14100.0,50298.4896,13411.5,51721.7664,13791.0,67339
2020-10-30,50464.219776,13455.69,51267.892992,13669.98,49186.496,13115.0,50855.79904,13560.1,70657
2020-10-29,49754.30656,13266.4,51166.369664,13642.91,48458.055808,12920.77,50464.25728,13455.7,74872
2020-10-28,51141.054464,13636.16,51978.593792,13859.48,48335.1552,12888.0,49754.30656,13266.4,94440
2020-10-27,48950.78336,13052.15,51715.353216,13789.29,48829.720448,13019.87,51141.091968,13636.17,80796
2020-10-26,48866.361856,13029.64,49650.833024,13238.81,47873.856,12765.0,48950.933376,13052.19,60951
2020-10-25,49174.232192,13111.73,50067.84,13350.0,48335.1552,12888.0,48863.324032,13028.83,38481
2020-10-24,48466.644224,12923.06,49380.504192,13166.73,48267.648,12870.0,49174.232192,13111.73,35952
2020-10-23,48638.337536,12968.84,48859.048576,13027.69,47705.388032,12720.08,48466.681728,12923.07,50386
2020-10-22,47932.9248,12780.75,49449.024,13185.0,47547.871232,12678.08,48637.137408,12968.52,70038
2020-10-21,44667.264,11910.0,49571.587072,13217.68,44580.81728,11886.95,47933.712384,12780.96,114584
2020-10-20,44072.675584,11751.46,45148.740352,12038.38,43795.633536,11677.59,44667.226496,11909.99,62134
2020-10-19,43141.376256,11503.14,44344.692096,11823.99,42784.413184,11407.96,44072.713088,11751.47,47414
2020-10-18,42605.706624,11360.31,43148.352,11505.0,42552.863488,11346.22,43141.376256,11503.14,23284
2020-10-17,42451.677696,11319.24,42763.635968,11402.42,42210.752,11255.0,42605.29408,11360.2,22368
2020-10-16,43148.839552,11505.13,43283.92896,11541.15,42004.48,11200.0,42451.977728,11319.32,48797
2020-10-15,42821.654656,11417.89,43569.671936,11617.34,42195.112832,11250.83,43148.802048,11505.12,48760
2020-10-14,42831.705728,11420.57,43309.544192,11547.98,42304.512,11280.0,42821.654656,11417.89,41415
2020-10-13,43235.511296,11528.24,43343.3728,11557.0,42379.52,11300.0,42831.668224,11420.56,42205
2020-10-12,42638.372608,11369.02,43954.725504,11720.01,41899.4688,11172.0,43235.5488,11528.25,52825
2020-10-11,42354.092288,11293.22,42923.328,11445.0,42083.2384,11221.0,42638.372608,11369.02,29043
2020-10-10,41444.320256,11050.64,43095.8464,11491.0,41443.832704,11050.51,42354.092288,11293.22,43648
2020-10-09,40974.770176,10925.44,41646.841856,11104.64,40613.0816,10829.0,41444.320256,11050.64,48240
2020-10-08,40003.26656,10666.4,41066.88,10950.0,39493.249664,10530.41,40975.257728,10925.57,51959
2020-10-07,39752.92736,10599.65,40061.285248,10681.87,39552.355968,10546.17,40003.229056,10666.39,32811
2020-10-06,40475.06688,10792.2,40504.32,10800.0,39472.96,10525.0,39752.964864,10599.66,48674
2020-10-05,40004.091648,10666.62,40496.8192,10798.0,39812.896256,10615.64,40475.104384,10792.21,34025
2020-10-04,39536.979328,10542.07,40117.541248,10696.87,39446.219648,10517.87,40004.129152,10666.63,23212
2020-10-03,39643.22816,10570.4,39767.591424,10603.56,39365.923584,10496.46,39536.941824,10542.06,22298
2020-10-02,39825.985152,10619.13,39996.665856,10664.64,38906.6496,10374.0,39643.22816,10570.4,50130
2020-10-01,40416.523136,10776.59,40954.368,10920.0,39142.9248,10437.0,39825.985152,10619.13,60866
2020-09-30,40656.511232,10840.58,40689.364736,10849.34,39998.503552,10665.13,40416.523136,10776.59,39596
2020-09-29,40114.690944,10696.11,40757.622016,10867.54,39888.766848,10635.87,40656.136192,10840.48,41874
2020-09-28,40407.784704,10774.26,41066.88,10950.0,39851.7504,10626.0,40114.728448,10696.12,50095
2020-09-27,40236.503936,10728.59,40500.5696,10799.0,39734.812928,10594.82,40407.7472,10774.25,30549
2020-09-26,40078.912128,10686.57,40582.853376,10820.94,39921.807872,10644.68,40236.54144,10728.6,28420
2020-09-25,40265.532032,10736.33,40356.291712,10760.53,39590.122496,10556.24,40079.287168,10686.67,48101
2020-09-24,38409.571584,10241.46,40486.468096,10795.24,38220.063872,10190.93,40265.494528,10736.32,57676
2020-09-23,39490.249344,10529.61,39518.52736,10537.15,38017.129728,10136.82,38409.571584,10241.46,51876
2020-09-22,39068.741888,10417.22,39651.891584,10572.71,38827.8912,10353.0,39490.249344,10529.61,43991
2020-09-21,40955.418112,10920.28,41212.620544,10988.86,38615.43104,10296.35,39068.741888,10417.22,70683
2020-09-20,41556.832256,11080.64,41556.832256,11080.64,40215.5392,10723.0,40955.418112,10920.28,39157
2020-09-19,41004.62336,10933.4,41928.684416,11179.79,40831.992448,10887.37,41556.86976,11080.65,38440
2020-09-18,41029.376,10940.0,41397.027712,11038.03,40552.475136,10812.84,41004.585856,10933.39,47266
2020-09-17,41081.919104,10954.01,41424.893184,11045.46,40301.160832,10745.83,41029.338496,10939.99,55601
2020-09-16,40448.926592,10785.23,41603.1872,11093.0,39983.839488,10661.22,41081.919104,10954.01,64991
2020-09-15,40023.406208,10671.77,40992.022016,10930.04,39778.542592,10606.48,40449.226624,10785.31,61822
2020-09-14,38752.283136,10332.84,40316.8,10750.0,38300.359936,10212.34,40023.406208,10671.77,67059
2020-09-13,39156.688768,10440.67,39679.644544,10580.11,38254.08,10200.0,38752.245632,10332.83,43837
2020-09-12,38958.742656,10387.89,39296.578688,10477.97,38513.7952,10269.25,39157.626368,10440.92,35379
2020-09-11,38767.359744,10336.86,38995.15904,10397.6,38254.08,10200.0,38958.742656,10387.89,43830
2020-09-10,38326.425216,10219.29,39316.75584,10483.35,37769.640832,10070.83,38767.397248,10336.87,58253
2020-09-09,37979.025664,10126.66,38790.3872,10343.0,37432.779904,9981.01,38326.08768,10219.2,49347
2020-09-08,38904.58688,10373.45,39146.6752,10438.0,36941.44,9850.0,37978.98816,10126.65,73491
2020-09-07,38463.689856,10255.89,39044.4768,10410.75,37035.2,9875.0,38904.549376,10373.44,62620
2020-09-06,38129.154176,10166.69,38805.913856,10347.14,37484.722944,9994.86,38464.85248,10256.2,56368
2020-09-05,39177.616,10446.25,39625.526272,10565.68,36847.68,9825.0,38129.154176,10166.69,90001
2020-09-04,38022.642816,10138.29,39855.68832,10627.05,37037.0752,9875.5,39177.616,10446.25,92733
2020-09-03,42711.580416,11388.54,42989.33504,11462.6,37356.98432,9960.8,38032.24384,10140.85,121950
2020-09-02,44712.156288,11921.97,44834.419328,11954.57,41854.83904,11160.1,42711.580416,11388.54,87221
2020-09-01,43690.322304,11649.51,45195.50784,12050.85,43185.856,11515.0,44712.156288,11921.97,78148
2020-08-31,43921.571968,11711.17,44257.607808,11800.77,43392.128,11570.0,43690.322304,11649.51,55353
2020-08-30,43001.486336,11465.84,43950.9376,11719.0,42972.0832,11458.0,43921.534464,11711.16,43177
2020-08-29,43230.48576,11526.9,43429.707008,11580.02,42818.466816,11417.04,43001.486336,11465.84,32973
2020-08-28,42493.457152,11330.38,43289.55456,11542.65,42292.848256,11276.89,43230.523264,11526.91,45953
2020-08-27,42984.909568,11461.42,43475.38688,11592.2,41723.2,11125.0,42493.457152,11330.38,63246
2020-08-26,42448.602368,11318.42,43277.065728,11539.32,42169.4976,11244.0,42984.947072,11461.43,53998
2020-08-25,44060.411776,11748.19,44134.14464,11767.85,41695.597056,11117.64,42448.602368,11318.42,69590
2020-08-24,43685.109248,11648.12,44348.10496,11824.9,43448.721536,11585.09,44060.44928,11748.2,46212
2020-08-23,43742.827904,11663.51,43947.449728,11718.07,43182.593152,11514.13,43685.146752,11648.13,37900
2020-08-22,43246.724992,11531.23,43827.1744,11686.0,42667.588224,11376.81,43740.765184,11662.96,43678
2020-08-21,44455.516416,11853.54,44547.2512,11878.0,43076.381824,11485.81,43247.137536,11531.34,64448
2020-08-20,44083.626752,11754.38,44584.7552,11888.0,43759.6672,11668.0,44455.55392,11853.55,46085
2020-08-19,44798.90304,11945.1,45080.108032,12020.08,43358.3744,11561.0,44084.414336,11754.59,73940
2020-08-18,46059.22496,12281.15,46459.092608,12387.77,44321.964672,11817.93,44798.565504,11945.01,75923
2020-08-17,44670.976896,11910.99,46759.9872,12468.0,44141.382912,11769.78,46059.149952,12281.13,84734
2020-08-16,44451.24096,11852.4,44748.722688,11931.72,43827.1744,11686.0,44671.0144,11911.0,41368
2020-08-15,44106.76672,11760.55,44929.792,11980.0,43804.672,11680.0,44451.24096,11852.4,56237
2020-08-14,44178.849408,11779.77,44442.24,11850.0,43632.266112,11634.03,44106.729216,11760.54,59818
2020-08-13,43370.900736,11564.34,44228.317184,11792.96,42268.358144,11270.36,44179.712,11780.0,70132
2020-08-12,42724.894336,11392.09,43570.347008,11617.52,41816.96,11150.0,43370.863232,11564.33,64909
2020-08-11,44603.13216,11892.9,44761.024,11935.0,41723.2,11125.0,42724.856832,11392.08,90748
2020-08-10,43811.010176,11681.69,45257.38944,12067.35,42942.08,11450.0,44603.207168,11892.92,84952
2020-08-09,44108.529408,11761.02,44243.881344,11797.11,43211.996288,11521.97,43810.972672,11681.68,41493
2020-08-08,43483.487744,11594.36,44285.735808,11808.27,43174.6048,11512.0,44109.992064,11761.41,41858
2020-08-07,44113.967488,11762.47,44667.038976,11909.94,42462.0288,11322.0,43483.000192,11594.23,65755
2020-08-06,44048.110464,11744.91,44629.76,11900.0,43364.0,11562.5,44113.929984,11762.46,63529
2020-08-05,41974.439296,11191.99,44183.199872,11780.93,41603.1872,11093.0,44048.110464,11744.91,74970
2020-08-04,42078.287872,11219.68,42810.740992,11414.98,41254.4,11000.0,41974.364288,11191.97,58629
2020-08-03,41522.028544,11071.36,43028.3392,11473.0,41014.3744,10936.0,42078.775424,11219.81,56931
2020-08-02,44259.107968,11801.17,45467.824384,12123.46,39448.5824,10518.5,41521.99104,11071.35,97553
2020-08-01,42512.509184,11335.46,44483.4944,11861.0,42079.488,11220.0,44259.107968,11801.17,85087
2020-07-31,41628.652416,11099.79,42919.5776,11444.0,41104.384,10960.0,42512.509184,11335.46,70063
2020-07-30,41631.390208,11100.52,41891.968,11170.0,40620.5824,10831.0,41627.977344,11099.61,60794
2020-07-29,40902.875008,10906.27,42540.112128,11342.82,40549.3248,10812.0,41631.427712,11100.53,76838
2020-07-28,41366.761984,11029.96,42162.859392,11242.23,39622.976,10565.0,40902.875008,10906.27,97267
2020-07-27,37247.247616,9931.54,42735.282944,11394.86,37193.504384,9917.21,41366.761984,11029.96,150188
2020-07-26,36380.455168,9700.42,37920.2944,10111.0,36191.36,9650.0,37247.247616,9931.54,65279
2020-07-25,35771.69024,9538.1,36502.26816,9732.9,35677.5552,9513.0,36380.455168,9700.42,40679
2020-07-24,36016.103808,9603.27,36142.6048,9637.0,35491.685376,9463.44,35770.56512,9537.8,43931
2020-07-23,35696.907264,9518.16,36243.8656,9664.0,35405.013632,9440.33,36016.103808,9603.27,51856
